date,gross,turnover,net,passive_gross
2020-08-26,0.00900877615373602,1.0,0.00810877615373602,-0.00900877615373602
2020-08-27,-0.006773329033321063,1.0,-0.0076733290333210625,0.02411873139405396
2020-08-28,-0.0018307464411229102,1.0,-0.00273074644112291,0.0018307464411229102
2020-08-29,-0.027292854410896905,1.0,-0.028192854410896907,0.04868858294016298
2020-08-30,-0.003021366586362151,1.0,-0.003921366586362151,0.003021366586362151
2020-08-31,-0.03626694086679605,1.0,-0.03716694086679605,0.059655049036152374
2020-09-01,0.06012939986816224,1.0,0.05922939986816224,-0.06012939986816224
2020-09-02,-0.12087615068596202,2.0,-0.12267615068596202,-0.12087615068596202
2020-09-03,0.020118213489482062,0.0,0.020118213489482062,0.020118213489482062
2020-09-04,0.07859657679494392,2.0,0.07679657679494392,-0.07859657679494392
2020-09-05,0.030953567269798254,2.0,0.029153567269798255,0.030953567269798254
2020-09-06,-0.006835181681598468,2.0,-0.008635181681598467,0.006835181681598468
2020-09-07,0.03480317023429491,0.0,0.03480317023429491,-0.03480317023429491
2020-09-08,-0.024516867754708405,0.0,-0.024516867754708405,0.024516867754708405
2020-09-09,-0.030098186403040628,0.0,-0.030098186403040628,0.030098186403040628
2020-09-10,-0.005278173617945581,1.0,-0.0061781736179455805,0.010213903679366365
2020-09-11,-0.021488337033346294,1.0,-0.022388337033346296,0.021488337033346294
2020-09-12,0.03271765743933447,0.0,0.03271765743933447,-0.03271765743933447
2020-09-13,-0.0018003900728571498,1.0,-0.0027003900728571496,0.03100185287510593
2020-09-14,0.011995800976606574,1.0,0.011095800976606575,-0.011995800976606574
2020-09-15,-0.006378752964238066,1.0,-0.007278752964238066,0.00926289294116489
2020-09-16,-0.03256922154631825,1.0,-0.03346922154631825,0.03256922154631825
2020-09-17,0.006683913951720799,0.0,0.006683913951720799,-0.006683913951720799
2020-09-18,-0.005615760783383328,1.0,-0.006515760783383328,0.007853071847667037
2020-09-19,0.02567905859403491,1.0,0.024779058594034908,-0.02567905859403491
2020-09-20,-0.01830995921481887,1.0,-0.019209959214818873,-0.06437654358811346
2020-09-21,0.011050209684620893,1.0,0.010150209684620893,0.011050209684620893
2020-09-22,0.047804454761043336,2.0,0.04600445476104333,-0.047804454761043336
2020-09-23,-0.0198818902528608,1.0,-0.020781890252860803,0.06820117285514615
2020-09-24,-0.0019144795687487393,1.0,-0.002814479568748739,0.0019144795687487393
